sector,driver_name,why_it_matters,driver_type,source_strategy,public_web_search_available,codex_pipeline_required,priority,interpretation_note,data_status
BÁN LẺ,consumer spending,Tracks household demand and discretionary purchase cycles.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BÁN LẺ,same-store sales,Shows whether retail growth is broad or store-opening driven.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BÁN LẺ,inventory cycle,High inventory can pressure margins and cash conversion.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẢO HIỂM,bond yields,Investment income and reserve discount rates are sensitive to yields.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẢO HIỂM,premium growth,Shows insurance demand and distribution momentum.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẢO HIỂM,claim ratio,Rising claims can pressure underwriting profitability.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẤT ĐỘNG SẢN,interest rate and credit policy,"Affects buyer affordability, financing access, and project progress.",macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẤT ĐỘNG SẢN,legal approvals,"Approval pace affects launch timing, presales, and revenue recognition.",policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
BẤT ĐỘNG SẢN,housing presales,Shows demand strength before accounting revenue appears.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
CÔNG NGHỆ THÔNG TIN,global IT spending,Affects outsourcing demand and project budgets.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
CÔNG NGHỆ THÔNG TIN,USD/VND exchange rate,Revenue and margin can be sensitive to export billing currency.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
CÔNG NGHỆ THÔNG TIN,digital transformation budgets,Domestic enterprise and public-sector budgets support demand.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DU LỊCH VÀ GIẢI TRÍ,tourist arrivals,"Visitor flow drives hotel, airport service, and leisure demand.",demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DU LỊCH VÀ GIẢI TRÍ,hotel occupancy,Occupancy shows pricing power and service utilization.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DU LỊCH VÀ GIẢI TRÍ,airline capacity,Seat supply and routes affect travel volume and costs.,supply,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DẦU KHÍ,Brent crude price,"Oil price affects upstream revenue, sentiment, and project economics.",commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DẦU KHÍ,gas demand,Industrial and power-sector demand affects gas volume cycles.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DẦU KHÍ,refining margin,Crack spreads influence refinery earnings sensitivity.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DỊCH VỤ TÀI CHÍNH,market turnover,Brokerage revenue and sentiment follow market liquidity.,market,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DỊCH VỤ TÀI CHÍNH,margin lending,Affects securities-company interest income and risk appetite.,credit,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
DỊCH VỤ TÀI CHÍNH,IPO and issuance pipeline,Capital-market activity supports fee income cycles.,market,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG & DỊCH VỤ CÔNG NGHIỆP,manufacturing PMI,Shows industrial demand and order momentum.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG & DỊCH VỤ CÔNG NGHIỆP,export orders,Industrial service demand often follows external orders.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG & DỊCH VỤ CÔNG NGHIỆP,logistics cost,Freight and fuel costs can pressure margins.,cost,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG CÁ NHÂN & GIA DỤNG,consumer discretionary demand,Demand cycle affects volume and pricing power.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG CÁ NHÂN & GIA DỤNG,export orders,Many manufacturers depend on external consumer demand.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÀNG CÁ NHÂN & GIA DỤNG,input costs,Materials and labor shifts affect gross margin.,cost,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÓA CHẤT,rubber price,Affects revenue and margin for rubber producers and cost pressure for downstream users.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÓA CHẤT,fertilizer and chemical input cost,Feedstock costs influence spread and profitability.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
HÓA CHẤT,export demand,External demand affects volume and pricing cycle.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
NGÂN HÀNG,credit growth,Affects loan growth and banking revenue cycle.,credit,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
NGÂN HÀNG,net interest margin,Interest-rate cycle affects spread income.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
NGÂN HÀNG,asset quality and NPLs,Credit costs can lag the loan cycle and affect earnings quality.,risk,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
THỰC PHẨM VÀ ĐỒ UỐNG,input commodity prices,"Sugar, grain, milk, and packaging costs affect margins.",commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
THỰC PHẨM VÀ ĐỒ UỐNG,consumer demand,Volume growth follows staples and discretionary spending trends.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
THỰC PHẨM VÀ ĐỒ UỐNG,export markets,Seafood and food exporters depend on overseas demand and trade rules.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TRUYỀN THÔNG,advertising spend,Ad budgets drive revenue sensitivity for media businesses.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TRUYỀN THÔNG,platform regulation,Policy changes can affect distribution and monetization.,policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TRUYỀN THÔNG,event and content cycle,Major events and content releases can shift traffic and ad demand.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TÀI NGUYÊN CƠ BẢN,steel price,Price cycle affects revenue and inventory gains or losses.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TÀI NGUYÊN CƠ BẢN,iron ore and coking coal,Input costs affect steel producer margins.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
TÀI NGUYÊN CƠ BẢN,China demand,Regional commodity demand often follows China construction and manufacturing.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
VIỄN THÔNG,subscriber and ARPU trend,User growth and revenue per user drive telecom revenue cycle.,operating,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
VIỄN THÔNG,5G capex,Network investment affects cost cycle and future service capacity.,capex,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
VIỄN THÔNG,data usage,Traffic growth supports monetization if pricing holds.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
XÂY DỰNG VÀ VẬT LIỆU,public investment,Infrastructure spending drives construction and materials demand.,policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
XÂY DỰNG VÀ VẬT LIỆU,cement and steel prices,Material price cycles affect margins and demand timing.,commodity,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
XÂY DỰNG VÀ VẬT LIỆU,construction permits,Permit activity signals private construction demand.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Y TẾ,hospital and pharma demand,Patient volume and medicine demand drive revenue cycles.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Y TẾ,drug tender policy,"Tender rules affect pricing, volume, and timing.",policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Y TẾ,insurance reimbursement,Payment policy can change affordability and provider cash flow.,policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Ô TÔ VÀ PHỤ TÙNG,vehicle sales,Unit sales show demand cycle for assemblers and parts suppliers.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Ô TÔ VÀ PHỤ TÙNG,registration fee and tax policy,Policy incentives can pull demand forward.,policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
Ô TÔ VÀ PHỤ TÙNG,auto loan rates,Financing cost affects consumer purchase affordability.,macro,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,medium,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",power demand,Electricity load tracks industrial and household consumption.,demand,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",hydrology and water inflow,Water availability affects hydropower output mix and margins.,weather,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",regulated tariff policy,Tariff changes affect revenue and cost pass-through.,policy,CHATGPT_WEB_SEARCH_PUBLIC,yes,no,high,Use public current context later; do not invent live values in this package.,NEEDS_WEB_RESEARCH
